N,P,K,ph,crop,crop_binary
22,23,44,6,pomegranate,0
9,16,39,6,pomegranate,0
12,29,40,7,pomegranate,0
0,17,42,7,pomegranate,0
2,21,44,7,pomegranate,0
28,6,40,7,pomegranate,0
8,23,44,7,pomegranate,0
29,16,36,6,pomegranate,0
17,18,43,6,pomegranate,0
34,21,42,7,pomegranate,0
21,23,42,7,pomegranate,0
25,17,40,7,pomegranate,0
8,25,36,7,pomegranate,0
26,18,42,7,pomegranate,0
4,19,42,6,pomegranate,0
36,24,41,7,pomegranate,0
5,24,40,6,pomegranate,0
19,17,39,7,pomegranate,0
39,30,38,7,pomegranate,0
5,29,44,6,pomegranate,0
4,24,43,7,pomegranate,0
38,21,35,6,pomegranate,0
37,11,36,7,pomegranate,0
9,25,41,6,pomegranate,0
29,22,43,6,pomegranate,0
5,21,38,6,pomegranate,0
22,26,38,7,pomegranate,0
4,18,37,7,pomegranate,0
21,6,41,7,pomegranate,0
29,21,45,7,pomegranate,0
23,5,44,7,pomegranate,0
13,7,43,7,pomegranate,0
5,13,37,6,pomegranate,0
27,24,41,7,pomegranate,0
7,23,35,7,pomegranate,0
12,20,39,6,pomegranate,0
4,19,43,6,pomegranate,0
3,9,45,7,pomegranate,0
1,27,36,6,pomegranate,0
23,30,44,6,pomegranate,0
24,21,42,7,pomegranate,0
13,30,37,6,pomegranate,0
40,11,44,6,pomegranate,0
21,9,40,6,pomegranate,0
3,27,44,7,pomegranate,0
40,29,42,7,pomegranate,0
14,25,40,6,pomegranate,0
38,14,37,7,pomegranate,0
34,9,36,6,pomegranate,0
32,14,37,7,pomegranate,0
18,21,35,6,pomegranate,0
8,23,38,7,pomegranate,0
15,6,41,7,pomegranate,0
0,5,36,6,pomegranate,0
22,9,44,6,pomegranate,0
14,8,43,7,pomegranate,0
31,11,45,6,pomegranate,0
39,17,45,7,pomegranate,0
10,5,42,7,pomegranate,0
8,28,38,7,pomegranate,0
32,13,42,6,pomegranate,0
18,9,40,6,pomegranate,0
20,27,41,6,pomegranate,0
39,25,36,6,pomegranate,0
20,7,45,6,pomegranate,0
11,10,45,6,pomegranate,0
40,18,43,6,pomegranate,0
3,26,39,7,pomegranate,0
9,16,36,6,pomegranate,0
30,20,38,7,pomegranate,0
40,9,41,6,pomegranate,0
40,30,35,6,pomegranate,0
32,25,35,6,pomegranate,0
33,23,45,7,pomegranate,0
4,14,41,6,pomegranate,0
13,17,45,7,pomegranate,0
39,24,39,6,pomegranate,0
8,28,37,6,pomegranate,0
91,94,46,6,banana,0
105,95,50,6,banana,0
108,92,53,6,banana,0
86,76,54,6,banana,0
80,77,49,6,banana,0
93,94,53,6,banana,0
90,92,55,6,banana,0
108,89,53,6,banana,0
108,88,55,6,banana,0
105,77,52,6,banana,0
118,88,52,6,banana,0
101,87,54,6,banana,0
95,75,50,6,banana,0
106,85,53,6,banana,0
86,95,49,6,banana,0
83,79,55,6,banana,0
85,95,47,6,banana,0
109,79,45,6,banana,0
100,76,45,6,banana,0
117,86,48,6,banana,0
114,94,53,6,banana,0
110,78,50,6,banana,0
94,70,48,6,banana,0
80,71,47,6,banana,0
114,79,51,6,banana,0
88,78,45,6,banana,0
112,73,48,6,banana,0
117,76,47,6,banana,0
111,87,48,6,banana,0
89,83,47,6,banana,0
93,91,47,6,banana,0
92,81,52,6,banana,0
105,74,45,6,banana,0
102,71,48,6,banana,0
94,91,51,6,banana,0
116,71,47,6,banana,0
117,79,49,6,banana,0
119,72,55,6,banana,0
99,73,53,6,banana,0
91,84,52,6,banana,0
80,90,47,6,banana,0
101,70,48,6,banana,0
108,89,53,6,banana,0
100,80,52,6,banana,0
109,91,53,6,banana,0
82,78,46,6,banana,0
106,70,55,6,banana,0
90,86,52,6,banana,0
83,95,50,6,banana,0
119,90,48,6,banana,0
107,72,45,6,banana,0
116,81,55,6,banana,0
101,75,50,6,banana,0
93,81,50,6,banana,0
95,75,45,6,banana,0
107,71,55,6,banana,0
83,94,47,6,banana,0
102,73,54,6,banana,0
86,79,45,6,banana,0
117,86,53,6,banana,0
111,79,53,6,banana,0
95,74,50,6,banana,0
91,75,55,6,banana,0
93,83,46,6,banana,0
92,85,51,6,banana,0
104,80,54,6,banana,0
103,72,51,6,banana,0
92,75,45,6,banana,0
93,85,49,6,banana,0
120,87,52,6,banana,0
108,72,46,6,banana,0
105,88,54,6,banana,0
98,79,50,6,banana,0
111,88,55,6,banana,0
97,74,45,6,banana,0
95,82,48,6,banana,0
89,91,55,6,banana,0
89,85,55,6,banana,0
118,88,51,6,banana,0
101,92,45,6,banana,0
99,92,47,6,banana,0
82,77,46,6,banana,0
90,86,55,6,banana,0
95,88,52,6,banana,0
104,73,46,6,banana,0
102,73,52,6,banana,0
100,74,52,6,banana,0
94,89,48,6,banana,0
99,70,46,6,banana,0
112,87,48,6,banana,0
117,82,45,6,banana,0
96,86,51,6,banana,0
113,85,45,6,banana,0
105,93,46,6,banana,0
85,89,51,6,banana,0
108,94,47,6,banana,0
92,81,52,6,banana,0
110,71,54,6,banana,0
82,75,55,6,banana,0
117,81,53,6,banana,0
2,40,27,6,mango,0
39,24,31,5,mango,0
21,26,27,6,mango,0
25,22,25,6,mango,0
0,21,32,6,mango,0
20,19,35,6,mango,0
19,21,34,5,mango,0
18,17,31,6,mango,0
11,36,33,6,mango,0
30,28,30,5,mango,0
18,19,27,5,mango,0
23,23,27,5,mango,0
37,30,34,7,mango,0
11,27,30,6,mango,0
12,19,31,6,mango,0
3,28,33,6,mango,0
37,38,32,5,mango,0
26,37,30,6,mango,0
14,18,30,5,mango,0
40,16,35,5,mango,0
4,20,25,6,mango,0
36,25,33,6,mango,0
30,17,31,7,mango,0
28,37,28,6,mango,0
38,15,30,5,mango,0
12,37,30,5,mango,0
38,19,31,6,mango,0
8,33,29,6,mango,0
15,27,28,5,mango,0
34,16,25,6,mango,0
11,36,31,6,mango,0
33,29,34,7,mango,0
12,31,26,5,mango,0
12,34,28,6,mango,0
5,16,31,5,mango,0
1,30,29,6,mango,0
16,35,31,5,mango,0
35,18,26,5,mango,0
4,40,26,7,mango,0
9,29,34,6,mango,0
2,38,33,5,mango,0
26,32,32,7,mango,0
34,38,31,6,mango,0
5,32,33,6,mango,0
31,29,26,5,mango,0
34,34,35,6,mango,0
36,19,32,5,mango,0
7,17,26,6,mango,0
38,15,27,7,mango,0
5,19,25,6,mango,0
37,36,26,5,mango,0
21,31,32,5,mango,0
37,36,27,6,mango,0
23,23,30,5,mango,0
36,26,26,7,mango,0
24,33,35,5,mango,0
26,18,30,6,mango,0
22,17,26,5,mango,0
11,34,32,7,mango,0
29,35,28,7,mango,0
22,28,26,5,mango,0
23,24,32,6,mango,0
1,35,34,6,mango,0
2,24,34,6,mango,0
39,37,25,7,mango,0
15,36,27,6,mango,0
3,18,31,6,mango,0
8,38,32,5,mango,0
33,31,34,5,mango,0
14,29,32,7,mango,0
18,20,26,5,mango,0
9,21,32,6,mango,0
20,30,27,5,mango,0
9,38,25,5,mango,0
26,24,34,7,mango,0
31,36,29,6,mango,0
14,18,35,5,mango,0
40,16,35,6,mango,0
28,27,34,7,mango,0
0,17,30,6,mango,0
1,29,29,6,mango,0
2,36,31,6,mango,0
12,27,26,5,mango,0
7,28,35,5,mango,0
0,36,26,5,mango,0
26,35,31,5,mango,0
27,21,30,5,mango,0
22,38,31,6,mango,0
22,18,31,6,mango,0
28,23,28,6,mango,0
7,31,27,7,mango,0
29,34,26,6,mango,0
8,37,33,6,mango,0
39,16,27,5,mango,0
40,24,25,5,mango,0
19,38,26,5,mango,0
21,21,30,5,mango,0
22,18,33,7,mango,0
31,20,30,6,mango,0
18,26,31,5,mango,0
24,130,195,6,grapes,0
13,144,204,6,grapes,0
22,123,205,6,grapes,0
36,125,196,6,grapes,0
24,131,196,6,grapes,0
2,123,198,6,grapes,0
35,140,197,6,grapes,0
11,122,195,6,grapes,0
6,123,203,6,grapes,0
17,134,204,6,grapes,0
25,130,197,6,grapes,0
27,145,205,6,grapes,0
9,122,201,6,grapes,0
16,139,203,6,grapes,0
32,141,204,6,grapes,0
22,138,195,6,grapes,0
31,144,202,6,grapes,0
3,136,205,6,grapes,0
28,122,197,6,grapes,0
4,136,204,6,grapes,0
39,145,201,6,grapes,0
38,132,197,6,grapes,0
36,133,198,6,grapes,0
25,121,201,6,grapes,0
15,125,199,6,grapes,0
24,140,205,6,grapes,0
13,132,203,6,grapes,0
5,126,197,6,grapes,0
30,120,200,6,grapes,0
23,142,197,6,grapes,0
26,135,203,6,grapes,0
7,126,203,6,grapes,0
32,139,198,6,grapes,0
9,141,202,6,grapes,0
20,142,196,6,grapes,0
32,129,201,6,grapes,0
3,134,199,6,grapes,0
38,138,204,6,grapes,0
14,131,198,6,grapes,0
20,122,204,6,grapes,0
40,126,201,6,grapes,0
36,128,204,6,grapes,0
11,132,197,6,grapes,0
0,137,195,6,grapes,0
19,123,200,6,grapes,0
31,136,197,6,grapes,0
4,134,200,6,grapes,0
39,139,201,6,grapes,0
8,127,196,6,grapes,0
39,138,203,6,grapes,0
32,120,204,6,grapes,0
12,142,203,6,grapes,0
8,133,195,6,grapes,0
8,139,199,6,grapes,0
21,134,202,6,grapes,0
40,140,195,6,grapes,0
39,127,202,6,grapes,0
19,120,195,6,grapes,0
21,139,201,6,grapes,0
17,136,195,6,grapes,0
33,139,203,6,grapes,0
22,133,201,6,grapes,0
32,130,196,6,grapes,0
37,135,205,6,grapes,0
15,140,195,6,grapes,0
39,132,196,6,grapes,0
40,121,199,6,grapes,0
40,132,202,6,grapes,0
29,142,203,6,grapes,0
32,121,199,6,grapes,0
6,140,205,6,grapes,0
8,120,196,6,grapes,0
34,133,202,6,grapes,0
35,135,199,6,grapes,0
16,145,199,6,grapes,0
8,136,201,6,grapes,0
25,129,195,6,grapes,0
16,130,201,6,grapes,0
39,129,203,6,grapes,0
38,135,203,6,grapes,0
33,120,205,6,grapes,0
35,125,204,6,grapes,0
1,132,200,6,grapes,0
39,140,203,6,grapes,0
28,145,202,6,grapes,0
6,128,200,6,grapes,0
6,139,199,6,grapes,0
29,122,196,6,grapes,0
37,144,197,6,grapes,0
38,120,197,6,grapes,0
38,141,198,6,grapes,0
14,121,203,6,grapes,0
6,125,204,6,grapes,0
32,138,197,6,grapes,0
11,124,204,6,grapes,0
23,138,200,6,grapes,0
40,143,201,6,grapes,0
6,142,202,6,grapes,0
37,124,195,6,grapes,0
35,134,204,6,grapes,0
119,25,51,6,watermelon,0
119,19,55,7,watermelon,0
105,30,50,6,watermelon,0
114,8,50,7,watermelon,0
93,22,52,7,watermelon,0
80,26,55,6,watermelon,0
85,27,45,6,watermelon,0
85,22,53,7,watermelon,0
82,22,45,7,watermelon,0
118,13,54,6,watermelon,0
83,25,53,6,watermelon,0
86,15,47,6,watermelon,0
101,10,47,7,watermelon,0
119,9,50,6,watermelon,0
104,17,46,6,watermelon,0
95,12,51,7,watermelon,0
102,14,52,7,watermelon,0
109,21,55,7,watermelon,0
81,18,50,6,watermelon,0
103,17,51,6,watermelon,0
105,14,50,6,watermelon,0
97,8,52,6,watermelon,0
120,19,49,7,watermelon,0
95,16,55,7,watermelon,0
83,29,52,7,watermelon,0
83,9,45,6,watermelon,0
91,21,50,7,watermelon,0
116,5,54,7,watermelon,0
112,28,54,7,watermelon,0
88,29,51,6,watermelon,0
118,15,45,7,watermelon,0
92,21,48,6,watermelon,0
106,14,45,6,watermelon,0
99,5,47,7,watermelon,0
98,8,51,6,watermelon,0
108,22,46,6,watermelon,0
119,7,55,6,watermelon,0
117,27,48,7,watermelon,0
109,10,53,7,watermelon,0
80,16,46,7,watermelon,0
100,18,52,7,watermelon,0
91,7,53,6,watermelon,0
86,6,53,7,watermelon,0
107,5,52,7,watermelon,0
103,16,49,7,watermelon,0
101,20,48,6,watermelon,0
85,25,47,6,watermelon,0
84,7,51,6,watermelon,0
102,28,54,7,watermelon,0
98,25,52,6,watermelon,0
97,25,50,6,watermelon,0
90,16,45,6,watermelon,0
95,12,46,6,watermelon,0
82,23,49,7,watermelon,0
82,25,51,6,watermelon,0
110,28,46,6,watermelon,0
118,21,51,7,watermelon,0
120,20,45,6,watermelon,0
91,7,52,6,watermelon,0
81,6,55,6,watermelon,0
101,13,54,7,watermelon,0
101,17,55,6,watermelon,0
111,6,53,6,watermelon,0
107,10,49,7,watermelon,0
115,11,46,7,watermelon,0
84,25,52,6,watermelon,0
120,7,47,7,watermelon,0
91,12,46,6,watermelon,0
89,22,52,6,watermelon,0
113,19,46,6,watermelon,0
97,22,50,7,watermelon,0
117,30,50,7,watermelon,0
90,14,52,6,watermelon,0
104,23,47,7,watermelon,0
81,16,45,7,watermelon,0
88,5,47,7,watermelon,0
92,7,45,7,watermelon,0
81,18,50,7,watermelon,0
111,5,55,7,watermelon,0
108,23,51,6,watermelon,0
113,30,50,6,watermelon,0
83,10,53,6,watermelon,0
101,11,51,7,watermelon,0
114,21,55,6,watermelon,0
99,6,45,6,watermelon,0
92,20,55,7,watermelon,0
92,7,48,7,watermelon,0
91,24,55,6,watermelon,0
110,21,54,7,watermelon,0
112,25,51,7,watermelon,0
89,25,54,6,watermelon,0
100,10,53,6,watermelon,0
83,22,54,6,watermelon,0
95,14,50,7,watermelon,0
119,30,49,7,watermelon,0
97,12,47,7,watermelon,0
110,7,45,6,watermelon,0
96,18,50,7,watermelon,0
83,23,55,6,watermelon,0
120,24,47,6,watermelon,0
115,17,55,7,muskmelon,0
114,27,48,7,muskmelon,0
101,25,52,7,muskmelon,0
118,18,52,7,muskmelon,0
95,26,45,6,muskmelon,0
81,25,49,6,muskmelon,0
117,24,53,6,muskmelon,0
114,30,51,6,muskmelon,0
113,6,52,7,muskmelon,0
108,26,52,6,muskmelon,0
81,30,48,6,muskmelon,0
115,9,52,6,muskmelon,0
83,7,45,7,muskmelon,0
84,21,55,6,muskmelon,0
109,26,45,6,muskmelon,0
95,27,55,6,muskmelon,0
119,5,55,6,muskmelon,0
110,14,51,6,muskmelon,0
82,18,48,6,muskmelon,0
87,14,48,7,muskmelon,0
85,9,53,6,muskmelon,0
100,6,53,6,muskmelon,0
107,12,46,7,muskmelon,0
91,13,47,6,muskmelon,0
102,25,50,6,muskmelon,0
117,25,53,6,muskmelon,0
85,21,52,6,muskmelon,0
104,25,55,6,muskmelon,0
102,24,54,7,muskmelon,0
116,25,50,6,muskmelon,0
100,17,48,6,muskmelon,0
110,25,54,6,muskmelon,0
104,25,51,6,muskmelon,0
107,11,54,6,muskmelon,0
98,26,52,6,muskmelon,0
88,17,52,7,muskmelon,0
87,25,46,6,muskmelon,0
120,8,46,7,muskmelon,0
95,13,46,6,muskmelon,0
108,22,47,6,muskmelon,0
82,13,52,6,muskmelon,0
120,23,55,7,muskmelon,0
110,22,47,6,muskmelon,0
95,23,45,6,muskmelon,0
106,10,49,6,muskmelon,0
99,12,52,6,muskmelon,0
106,20,51,6,muskmelon,0
83,11,53,6,muskmelon,0
117,19,55,6,muskmelon,0
98,26,49,6,muskmelon,0
113,20,48,6,muskmelon,0
101,17,47,6,muskmelon,0
98,7,45,6,muskmelon,0
93,22,48,7,muskmelon,0
95,21,47,6,muskmelon,0
109,12,48,7,muskmelon,0
118,12,47,6,muskmelon,0
100,14,49,6,muskmelon,0
89,9,47,7,muskmelon,0
95,16,46,7,muskmelon,0
95,7,45,6,muskmelon,0
87,6,45,6,muskmelon,0
93,20,50,6,muskmelon,0
84,29,49,6,muskmelon,0
111,5,47,6,muskmelon,0
111,5,52,6,muskmelon,0
111,15,54,6,muskmelon,0
89,11,47,6,muskmelon,0
110,15,48,6,muskmelon,0
95,30,52,7,muskmelon,0
115,12,52,7,muskmelon,0
120,25,50,6,muskmelon,0
102,11,45,6,muskmelon,0
94,5,55,6,muskmelon,0
84,18,46,7,muskmelon,0
107,22,54,7,muskmelon,0
80,18,52,6,muskmelon,0
86,18,45,7,muskmelon,0
113,28,48,6,muskmelon,0
115,18,53,6,muskmelon,0
82,20,54,7,muskmelon,0
98,22,47,6,muskmelon,0
117,25,54,6,muskmelon,0
83,15,49,6,muskmelon,0
120,16,51,7,muskmelon,0
111,5,50,6,muskmelon,0
85,21,47,6,muskmelon,0
90,23,54,6,muskmelon,0
99,29,55,7,muskmelon,0
102,11,47,7,muskmelon,0
80,18,51,7,muskmelon,0
87,21,52,6,muskmelon,0
114,8,52,6,muskmelon,0
99,6,46,6,muskmelon,0
89,25,50,6,muskmelon,0
96,13,55,7,muskmelon,0
82,26,47,7,muskmelon,0
106,21,52,6,muskmelon,0
90,15,52,6,muskmelon,0
106,16,54,7,muskmelon,0
24,128,196,6,apple,0
7,144,197,6,apple,0
14,128,205,6,apple,0
8,120,201,6,apple,0
20,129,201,6,apple,0
32,137,204,6,apple,0
27,139,205,6,apple,0
0,123,205,6,apple,0
22,144,196,6,apple,0
1,124,199,6,apple,0
30,122,197,6,apple,0
29,121,196,6,apple,0
13,126,204,6,apple,0
9,139,199,6,apple,0
0,133,200,6,apple,0
30,143,199,6,apple,0
36,140,198,6,apple,0
37,137,199,6,apple,0
33,121,203,6,apple,0
7,144,195,6,apple,0
35,128,205,6,apple,0
29,128,198,6,apple,0
2,143,196,6,apple,0
34,140,198,6,apple,0
29,144,204,6,apple,0
32,141,203,6,apple,0
13,144,197,6,apple,0
25,143,198,6,apple,0
9,137,200,6,apple,0
6,144,198,6,apple,0
37,126,196,6,apple,0
2,120,203,6,apple,0
11,143,197,6,apple,0
10,141,201,6,apple,0
24,142,202,6,apple,0
23,138,195,6,apple,0
18,125,204,6,apple,0
13,121,196,6,apple,0
26,122,202,6,apple,0
28,123,202,6,apple,0
26,121,201,6,apple,0
21,137,196,6,apple,0
21,135,198,6,apple,0
5,144,205,6,apple,0
2,123,205,6,apple,0
15,133,199,6,apple,0
31,130,198,6,apple,0
25,143,200,6,apple,0
16,143,204,6,apple,0
19,122,202,6,apple,0
10,125,196,6,apple,0
20,139,202,6,apple,0
28,123,198,6,apple,0
28,136,200,6,apple,0
2,131,199,6,apple,0
2,140,197,6,apple,0
27,138,201,6,apple,0
30,127,204,6,apple,0
32,145,203,6,apple,0
29,139,205,6,apple,0
26,126,195,6,apple,0
40,136,202,6,apple,0
6,124,200,6,apple,0
35,138,200,6,apple,0
17,136,196,6,apple,0
33,134,205,6,apple,0
16,143,197,6,apple,0
27,120,200,6,apple,0
29,145,205,6,apple,0
3,141,197,6,apple,0
15,123,204,6,apple,0
5,136,195,6,apple,0
10,136,204,6,apple,0
7,141,195,6,apple,0
2,129,201,6,apple,0
29,138,197,6,apple,0
30,137,200,6,apple,0
29,132,204,6,apple,0
14,139,197,6,apple,0
18,125,203,6,apple,0
33,143,204,6,apple,0
40,144,196,6,apple,0
9,143,197,6,apple,0
38,135,203,6,apple,0
28,130,196,6,apple,0
35,142,203,6,apple,0
12,129,205,6,apple,0
1,135,203,6,apple,0
0,145,205,6,apple,0
31,121,201,6,apple,0
35,131,203,6,apple,0
29,140,195,6,apple,0
33,138,198,6,apple,0
14,140,197,6,apple,0
35,145,195,6,apple,0
40,120,197,6,apple,0
25,132,198,6,apple,0
31,137,196,6,apple,0
36,144,196,6,apple,0
10,140,197,6,apple,0
22,30,12,6,orange,0
37,6,13,8,orange,0
27,13,6,7,orange,0
7,16,9,8,orange,0
20,7,9,7,orange,0
26,27,10,6,orange,0
5,23,15,7,orange,0
0,18,14,7,orange,0
39,24,14,7,orange,0
13,23,6,7,orange,0
21,17,15,7,orange,0
33,12,8,7,orange,0
6,9,12,7,orange,0
19,7,10,6,orange,0
24,18,6,6,orange,0
9,11,8,7,orange,0
31,8,7,7,orange,0
22,17,5,7,orange,0
13,5,8,7,orange,0
16,8,9,8,orange,0
4,13,6,8,orange,0
0,25,14,6,orange,0
8,7,10,7,orange,0
4,23,5,7,orange,0
33,14,8,8,orange,0
30,7,15,8,orange,0
21,29,12,6,orange,0
11,14,5,7,orange,0
9,8,15,8,orange,0
5,18,14,7,orange,0
29,25,14,8,orange,0
33,12,15,6,orange,0
8,16,6,7,orange,0
15,14,8,6,orange,0
16,7,8,6,orange,0
0,12,7,7,orange,0
5,25,6,6,orange,0
6,8,11,7,orange,0
10,5,5,8,orange,0
1,17,6,7,orange,0
1,30,10,7,orange,0
0,23,15,8,orange,0
24,27,9,6,orange,0
36,11,13,7,orange,0
40,21,8,7,orange,0
40,22,6,6,orange,0
32,18,13,6,orange,0
9,10,10,6,orange,0
13,16,8,7,orange,0
15,9,11,8,orange,0
29,11,5,8,orange,0
1,15,9,8,orange,0
18,5,11,6,orange,0
14,22,9,7,orange,0
33,15,7,8,orange,0
4,6,7,7,orange,0
17,16,14,7,orange,0
12,20,10,7,orange,0
34,29,8,6,orange,0
39,28,10,7,orange,0
31,25,12,7,orange,0
12,6,8,6,orange,0
12,29,13,8,orange,0
26,11,11,8,orange,0
19,24,15,7,orange,0
39,21,9,6,orange,0
16,29,13,6,orange,0
36,29,13,8,orange,0
37,23,12,6,orange,0
39,9,15,8,orange,0
31,5,14,7,orange,0
18,12,8,6,orange,0
20,20,10,7,orange,0
5,8,5,7,orange,0
20,8,12,7,orange,0
25,21,11,6,orange,0
14,19,14,7,orange,0
37,18,12,7,orange,0
26,15,6,7,orange,0
13,22,5,8,orange,0
32,25,9,8,orange,0
19,7,9,7,orange,0
28,7,9,7,orange,0
24,30,11,7,orange,0
7,17,10,6,orange,0
18,23,8,6,orange,0
7,20,12,6,orange,0
20,23,11,6,orange,0
18,14,11,7,orange,0
34,11,10,7,orange,0
20,29,10,7,orange,0
37,24,13,8,orange,0
12,8,10,8,orange,0
34,10,14,7,orange,0
6,13,9,8,orange,0
27,30,5,8,orange,0
13,8,12,7,orange,0
6,7,7,7,orange,0
40,17,15,8,orange,0
31,26,9,8,orange,0
61,68,50,7,papaya,0
58,46,45,7,papaya,0
45,47,55,7,papaya,0
39,65,53,7,papaya,0
31,68,45,7,papaya,0
70,68,45,7,papaya,0
68,62,50,7,papaya,0
34,65,47,7,papaya,0
38,68,54,7,papaya,0
69,64,47,7,papaya,0
58,51,47,7,papaya,0
59,47,53,7,papaya,0
44,64,54,7,papaya,0
56,57,48,7,papaya,0
69,60,54,7,papaya,0
56,58,49,7,papaya,0
49,55,53,7,papaya,0
38,51,52,7,papaya,0
54,65,47,7,papaya,0
57,57,51,7,papaya,0
39,52,53,7,papaya,0
58,67,45,7,papaya,0
61,64,52,7,papaya,0
34,62,55,7,papaya,0
31,48,45,7,papaya,0
47,46,52,7,papaya,0
32,68,52,7,papaya,0
36,59,46,7,papaya,0
61,51,51,7,papaya,0
70,54,46,7,papaya,0
44,56,49,7,papaya,0
34,68,51,7,papaya,0
50,59,47,7,papaya,0
39,70,52,7,papaya,0
34,61,49,7,papaya,0
44,60,55,7,papaya,0
31,62,52,7,papaya,0
65,62,51,7,papaya,0
44,57,53,7,papaya,0
50,47,48,7,papaya,0
43,50,48,7,papaya,0
60,46,53,7,papaya,0
70,68,55,7,papaya,0
59,62,52,7,papaya,0
60,58,51,7,papaya,0
42,60,47,7,papaya,0
35,66,47,7,papaya,0
34,65,48,7,papaya,0
36,54,46,7,papaya,0
39,64,52,7,papaya,0
37,52,47,7,papaya,0
33,47,46,7,papaya,0
34,48,48,7,papaya,0
49,54,50,7,papaya,0
40,65,49,7,papaya,0
68,52,49,7,papaya,0
50,46,52,7,papaya,0
65,63,50,7,papaya,0
40,49,47,7,papaya,0
42,53,48,7,papaya,0
49,55,51,7,papaya,0
59,62,49,7,papaya,0
63,58,47,7,papaya,0
70,65,52,7,papaya,0
63,50,52,7,papaya,0
40,64,47,7,papaya,0
63,58,50,7,papaya,0
45,58,49,7,papaya,0
66,69,47,7,papaya,0
54,67,52,7,papaya,0
69,67,52,7,papaya,0
67,68,49,7,papaya,0
45,57,47,7,papaya,0
56,50,52,7,papaya,0
70,50,53,7,papaya,0
44,47,45,7,papaya,0
50,60,47,7,papaya,0
52,51,53,7,papaya,0
35,68,45,7,papaya,0
68,69,52,7,papaya,0
32,55,52,7,papaya,0
32,55,51,7,papaya,0
48,62,47,7,papaya,0
39,69,53,7,papaya,0
49,61,45,7,papaya,0
48,57,54,7,papaya,0
69,66,49,7,papaya,0
53,55,55,7,papaya,0
38,61,52,7,papaya,0
57,64,55,7,papaya,0
51,57,55,7,papaya,0
56,65,45,7,papaya,0
54,66,52,7,papaya,0
58,55,47,7,papaya,0
68,70,54,7,papaya,0
42,59,55,7,papaya,0
43,64,47,7,papaya,0
35,67,49,7,papaya,0
56,59,55,7,papaya,0
39,64,53,7,papaya,0
18,30,29,6,coconut,0
37,23,28,6,coconut,0
13,28,33,6,coconut,0
2,21,35,6,coconut,0
10,18,35,6,coconut,0
7,11,32,6,coconut,0
39,5,31,6,coconut,0
34,6,27,6,coconut,0
31,30,29,6,coconut,0
25,7,35,6,coconut,0
16,18,26,6,coconut,0
26,10,33,6,coconut,0
27,8,32,6,coconut,0
37,18,30,6,coconut,0
19,15,34,6,coconut,0
0,19,33,6,coconut,0
31,20,26,6,coconut,0
9,17,32,6,coconut,0
22,11,29,6,coconut,0
31,6,26,6,coconut,0
34,6,30,6,coconut,0
24,6,32,6,coconut,0
1,8,26,6,coconut,0
31,13,33,6,coconut,0
10,9,28,6,coconut,0
36,27,26,6,coconut,0
38,24,33,6,coconut,0
11,6,25,6,coconut,0
16,14,30,6,coconut,0
33,14,35,6,coconut,0
16,6,29,6,coconut,0
32,11,31,6,coconut,0
38,14,30,6,coconut,0
8,6,33,6,coconut,0
23,6,33,6,coconut,0
29,25,35,6,coconut,0
24,14,33,6,coconut,0
32,12,30,6,coconut,0
30,25,31,6,coconut,0
14,21,35,6,coconut,0
27,22,29,6,coconut,0
40,5,29,6,coconut,0
17,11,32,6,coconut,0
30,30,35,6,coconut,0
28,10,30,6,coconut,0
39,7,29,6,coconut,0
32,20,35,6,coconut,0
7,15,32,6,coconut,0
29,17,29,6,coconut,0
34,15,34,6,coconut,0
14,23,25,6,coconut,0
18,19,29,6,coconut,0
7,21,35,6,coconut,0
24,27,34,6,coconut,0
39,29,29,6,coconut,0
29,8,28,6,coconut,0
10,24,27,6,coconut,0
0,29,32,6,coconut,0
32,11,31,6,coconut,0
37,10,32,6,coconut,0
20,29,27,6,coconut,0
31,29,35,6,coconut,0
17,30,27,6,coconut,0
1,12,30,6,coconut,0
6,13,29,6,coconut,0
15,28,32,6,coconut,0
27,24,29,6,coconut,0
3,23,30,6,coconut,0
8,26,26,6,coconut,0
20,28,26,6,coconut,0
26,18,27,6,coconut,0
1,6,35,6,coconut,0
27,30,31,6,coconut,0
23,7,34,6,coconut,0
0,26,31,6,coconut,0
38,6,25,6,coconut,0
25,12,26,6,coconut,0
40,5,32,6,coconut,0
0,19,31,6,coconut,0
26,9,32,6,coconut,0
35,30,34,6,coconut,0
19,30,30,6,coconut,0
31,13,33,6,coconut,0
17,29,26,6,coconut,0
2,30,30,6,coconut,0
30,13,25,6,coconut,0
8,15,33,6,coconut,0
18,12,35,6,coconut,0
8,28,30,6,coconut,0
40,22,29,6,coconut,0
27,10,33,6,coconut,0
21,20,31,6,coconut,0
3,9,35,6,coconut,0
22,16,27,6,coconut,0
27,8,30,6,coconut,0
22,8,33,6,coconut,0
28,27,32,6,coconut,0
23,21,26,6,coconut,0
37,5,34,6,coconut,0
19,26,29,6,coconut,0
133,47,24,7,cotton,0
136,36,20,7,cotton,0
104,47,18,8,cotton,0
133,47,23,7,cotton,0
126,38,23,6,cotton,0
126,50,19,7,cotton,0
113,41,20,7,cotton,0
121,45,22,6,cotton,0
121,47,16,8,cotton,0
129,60,22,6,cotton,0
107,45,25,7,cotton,0
122,59,18,6,cotton,0
140,38,15,6,cotton,0
102,49,21,6,cotton,0
111,40,25,6,cotton,0
131,35,18,7,cotton,0
